Key,HoldTime,FlightTime,DigraphLatency
i,0.1439,2.1768,2.1189
d,0.0985,0.1492,0.1946
s,0.0806,0.8704,0.8883
b,0.1156,0.7807,0.7458
r,0.0818,0.1346,0.1684
o,0.1146,0.3367,0.3039
a,0.1425,0.3007,0.2729
d,0.0768,0.3366,0.4023
c,0.0902,0.5607,0.5472
a,0.1549,0.2044,0.1397
s,0.0845,0.2167,0.2872
t,0.0841,0.1589,0.1594
i,0.1045,0.6642,0.6437
n,0.1078,0.2693,0.266
g,0.0948,0.1488,0.1618
.,0.0613,0.95,0.9835
b,0.1332,0.6692,0.5973
u,0.1678,0.128,0.0935
t,0.0767,0.0586,0.1497
i,0.1078,0.5584,0.5273
t,0.079,0.0683,0.0971
t,0.0991,0.8706,0.8505
u,0.0765,0.0875,0.1101
r,0.0854,0.3031,0.2943
n,0.0891,0.6753,0.6716
s,0.0905,0.1252,0.1237
o,0.1088,1.2148,1.1965
f,0.0638,0.0916,0.1366
t,0.0931,1.0516,1.0223
u,0.1058,0.1853,0.1726
u,0.1079,1.669,1.6669
t,0.0811,0.063,0.0898
t,0.1083,0.7737,0.7464
o,0.0874,0.1052,0.1261
b,0.0859,0.5287,0.5302
e,0.0995,0.1387,0.1251
a,0.1095,0.742,0.732
r,0.0871,0.5057,0.5281
e,0.0797,0.0918,0.0992
c,0.0846,0.2312,0.2262
r,0.0892,0.5924,0.5879
o,0.0903,1.594,1.5929
r,0.057,0.2502,0.2834
d,0.0689,0.2373,0.2254
i,0.0966,0.2988,0.2711
n,0.0953,0.2584,0.2596
g,0.0954,0.1402,0.1402
.,0.0539,0.9459,0.9874
t,0.117,2.4354,2.3723
h,0.0969,0.2417,0.2618
T,0.0823,2.6471,2.6616
h,0.1215,0.4294,0.3902
e,0.1105,0.1995,0.2105
y,0.0885,0.1461,0.1681
t,0.1345,0.7245,0.6786
h,0.0854,0.1113,0.1604
e,0.0907,0.1698,0.1645
n,0.0735,0.3517,0.369
r,0.1015,1.4067,1.3787
e,0.1028,0.1173,0.1161
s,0.1189,0.7692,0.753
c,0.0827,0.2374,0.2737
u,0.0865,0.3147,0.3109
e,0.0861,0.2361,0.2365
a,0.1147,3.2275,3.1989
s,0.135,0.4887,0.4685
t,0.1056,0.1453,0.1747
a,0.0989,0.1499,0.1566
r,0.0849,1.9168,1.9307
a,0.1228,0.2098,0.172
n,0.0773,0.3425,0.388
d,0.1035,0.4161,0.3899
e,0.0879,0.0701,0.0857
d,0.0804,0.1445,0.152
t,0.0949,1.3737,1.3592
a,0.132,0.1627,0.1256
n,0.1506,0.4391,0.4205
k,0.1165,0.1285,0.1626
n,0.1019,0.8655,0.8802
a,0.1776,0.1871,0.1114
m,0.0889,0.0608,0.1494
e,0.0819,0.1862,0.1932
d,0.0913,0.2463,0.2369
w,0.1251,1.7284,1.6945
a,0.1255,0.2412,0.2409
r,0.0582,0.4792,0.5464
p,0.135,0.738,0.6612
i,0.103,0.2337,0.2658
g,0.0973,0.7035,0.7092
.,0.0853,0.8765,0.8885
t,0.1154,0.3227,0.2925
h,0.0918,0.1075,0.1312
e,0.0938,0.6245,0.6225
i,0.1417,0.212,0.1641
r,0.0823,0.0939,0.1533
e,0.1069,0.6522,0.6276
f,0.0962,0.2821,0.2928
f,0.091,0.1813,0.1865
o,0.1281,0.3806,0.3435
r,0.0906,0.2236,0.2611
t,0.1144,0.2508,0.227
s,0.0979,1.4786,1.4951
c,0.1384,0.4799,0.4394
u,0.0861,0.2256,0.2778
l,0.0903,0.4401,0.4359
m,0.1592,0.5666,0.4976
i,0.1229,0.0898,0.1261
n,0.1112,0.2591,0.2708
a,0.1568,0.2282,0.1826
t,0.0998,0.1869,0.244
e,0.0915,0.1438,0.1521
u,0.0825,1.2157,1.2247
p,0.1081,0.3254,0.2998
o,0.0647,0.5201,0.5635
n,0.0808,0.2575,0.2413
a,0.1112,0.4049,0.3745
m,0.0769,0.5577,0.5921
a,0.2084,1.1326,1.0011
s,0.1089,0.593,0.6925
s,0.0973,0.2001,0.2117
i,0.0866,0.3855,0.3962
v,0.0925,0.785,0.7791
e,0.0831,0.1699,0.1793
a,0.1869,0.9245,0.8207
t,0.1098,0.09,0.1671
t,0.0724,0.2225,0.2599
a,0.1368,0.3407,0.2763
c,0.0734,0.1432,0.2066
k,0.0665,0.6673,0.6742
u,0.1016,0.961,0.9259
p,0.1506,0.2378,0.1888
o,0.0772,0.5358,0.6092
n,0.0629,0.2656,0.2799
t,0.1146,0.429,0.3773
h,0.0824,0.0969,0.129
e,0.0898,0.1545,0.1471
c,0.0922,0.5102,0.5078
a,0.1235,0.1549,0.1235
p,0.0947,0.5464,0.5752
i,0.0829,0.5567,0.5686
t,0.0839,0.3897,0.3886
a,0.1229,0.1506,0.1116
l,0.0703,0.6976,0.7502
.,0.0692,0.4842,0.4854
h,0.1676,0.8545,0.7561
o,0.1832,0.1347,0.1191
w,0.0916,0.3615,0.4531
e,0.1039,0.36,0.3477
v,0.1065,0.1258,0.1232
e,0.0791,0.1685,0.1959
r,0.0765,0.1575,0.1601
a,0.0903,1.3917,1.3779
n,0.2047,0.7126,0.5982
u,0.1092,0.0931,0.1886
c,0.0648,1.3181,1.3625
l,0.1129,0.1233,0.0752
e,0.1224,0.4798,0.4704
a,0.1089,0.2231,0.2367
r,0.1033,0.1792,0.1848
w,0.2176,0.593,0.4787
e,0.1402,0.0644,0.1418
a,0.0787,0.2145,0.2761
p,0.1941,0.5494,0.434
n,0.0783,0.3682,0.4839
i,0.1056,1.9114,1.8841
s,0.0878,0.1699,0.1878
